,height,weight,label,0
164,0.69,0.6,fat,fat
165,0.605,0.61,fat,fat
166,0.875,0.55,thin,thin
167,0.88,0.8,fat,fat
168,0.64,0.75,fat,fat
169,0.95,0.73,normal,normal
170,0.95,0.58,thin,thin
171,0.71,0.61,fat,fat
172,0.835,0.59,normal,normal
173,0.87,0.46,thin,thin
174,0.73,0.8,fat,fat
175,0.61,0.66,fat,fat
176,0.8,0.74,fat,fat
177,0.8,0.38,thin,thin
178,0.645,0.55,fat,fat
179,0.895,0.79,normal,normal
180,0.62,0.51,fat,fat
181,0.73,0.77,fat,fat
182,0.925,0.54,thin,thin
183,0.79,0.68,fat,fat
184,0.68,0.46,normal,normal
185,0.925,0.8,normal,normal
186,0.65,0.68,fat,fat
187,0.795,0.45,thin,thin
188,0.86,0.44,thin,thin
189,0.835,0.52,normal,normal
190,0.63,0.49,fat,fat
191,0.925,0.57,thin,thin
192,0.75,0.51,normal,normal
193,0.815,0.39,thin,thin
194,1.0,0.53,thin,thin
195,0.78,0.59,normal,normal
196,0.9,0.44,thin,thin
197,0.805,0.53,normal,normal
198,0.93,0.58,thin,thin
199,0.795,0.52,normal,normal
200,0.645,0.67,fat,fat
201,0.835,0.58,normal,normal
202,0.7,0.44,normal,normal
203,0.89,0.8,fat,fat
204,0.82,0.58,normal,normal
205,0.935,0.61,thin,thin
206,0.615,0.51,fat,fat
207,0.675,0.35,normal,normal
208,0.87,0.36,thin,thin
209,0.7,0.75,fat,fat
210,0.665,0.55,fat,fat
211,0.645,0.41,normal,normal
212,0.905,0.78,normal,normal
213,0.675,0.43,normal,normal
214,0.62,0.54,fat,fat
215,0.99,0.46,thin,thin
216,0.725,0.4,normal,normal
217,0.73,0.37,thin,thin
218,0.745,0.58,fat,fat
219,0.76,0.46,normal,normal
220,0.98,0.79,normal,normal
221,0.86,0.6,normal,normal
222,0.915,0.53,thin,thin
223,0.705,0.78,fat,fat
224,0.645,0.47,fat,fat
225,0.89,0.68,normal,normal
226,0.77,0.38,thin,thin
227,0.835,0.67,normal,normal
228,0.67,0.46,fat,fat
229,0.655,0.76,fat,fat
230,0.88,0.43,thin,thin
231,0.835,0.68,normal,normal
232,0.795,0.79,fat,fat
233,0.63,0.54,fat,fat
234,0.615,0.74,fat,fat
235,0.765,0.39,thin,thin
236,0.9,0.49,thin,thin
237,0.94,0.57,thin,thin
238,0.68,0.69,fat,fat
239,0.82,0.8,fat,fat
240,0.805,0.56,normal,normal
241,0.86,0.37,thin,thin
242,0.705,0.36,thin,normal
243,0.9,0.35,thin,thin
244,0.845,0.43,thin,thin
245,0.73,0.38,thin,thin
246,0.85,0.74,fat,fat
247,0.88,0.56,thin,thin
248,0.66,0.8,fat,fat
249,0.92,0.5,thin,thin
250,0.995,0.38,thin,thin
251,0.8,0.79,fat,fat
252,0.785,0.37,thin,thin
253,0.785,0.61,normal,normal
254,0.775,0.46,normal,normal
255,0.615,0.7,fat,fat
256,0.84,0.57,normal,normal
257,0.685,0.79,fat,fat
258,0.76,0.43,normal,normal
259,0.86,0.64,normal,normal
260,0.765,0.39,thin,thin
261,0.86,0.8,fat,fat
262,0.985,0.45,thin,thin
263,0.775,0.67,fat,fat
264,0.905,0.52,thin,thin
265,0.82,0.55,normal,normal
266,0.89,0.46,thin,thin
267,0.81,0.59,normal,normal
268,1.0,0.38,thin,thin
269,0.885,0.59,normal,normal
270,0.78,0.47,normal,normal
271,0.96,0.47,thin,thin
272,0.755,0.68,fat,fat
273,0.76,0.77,fat,fat
274,0.77,0.6,fat,fat
275,0.935,0.75,normal,normal
276,0.645,0.65,fat,fat
277,0.925,0.44,thin,thin
278,0.98,0.37,thin,thin
279,0.745,0.43,normal,normal
280,0.845,0.59,normal,normal
281,0.885,0.52,thin,thin
282,0.665,0.6,fat,fat
283,0.795,0.64,fat,fat
284,0.76,0.35,thin,thin
285,0.87,0.58,normal,normal
286,0.8,0.43,thin,thin
287,0.745,0.36,thin,thin
288,0.715,0.64,fat,fat
289,0.925,0.52,thin,thin
290,0.76,0.57,normal,normal
291,0.64,0.71,fat,fat
292,0.685,0.59,fat,fat
293,1.0,0.62,thin,thin
294,0.985,0.42,thin,thin
295,0.875,0.45,thin,thin
296,0.65,0.63,fat,fat
297,0.6,0.79,fat,fat
298,0.61,0.46,fat,fat
299,0.655,0.66,fat,fat
300,0.72,0.35,thin,thin
301,0.97,0.78,normal,normal
302,0.97,0.42,thin,thin
303,0.78,0.63,fat,fat
304,0.65,0.56,fat,fat
305,0.685,0.77,fat,fat
306,0.645,0.46,fat,fat
307,1.0,0.51,thin,thin
308,0.785,0.4,thin,thin
309,0.785,0.7,fat,fat
310,0.645,0.71,fat,fat
311,0.93,0.45,thin,thin
312,0.83,0.49,thin,thin
313,0.93,0.62,thin,thin
314,0.74,0.5,normal,normal
315,0.94,0.79,normal,normal
316,0.86,0.37,thin,thin
317,0.975,0.79,normal,normal
318,0.835,0.39,thin,thin
319,0.96,0.79,normal,normal
320,0.96,0.56,thin,thin
321,0.6,0.5,fat,fat
322,0.82,0.45,thin,thin
323,0.985,0.61,thin,thin
324,0.615,0.52,fat,fat
325,0.77,0.45,normal,normal
326,0.735,0.58,fat,fat
327,0.81,0.77,fat,fat
328,0.985,0.59,thin,thin
329,0.665,0.67,fat,fat
330,0.69,0.68,fat,fat
331,0.855,0.5,thin,thin
332,0.915,0.37,thin,thin
333,0.765,0.6,fat,fat
334,0.635,0.5,fat,fat
335,0.755,0.44,normal,normal
336,1.0,0.8,normal,normal
337,0.69,0.36,normal,normal
338,0.785,0.78,fat,fat
339,0.88,0.52,thin,thin
340,0.7,0.64,fat,fat
341,0.925,0.72,normal,normal
342,0.98,0.55,thin,thin
343,0.615,0.43,fat,fat
344,0.65,0.37,normal,normal
345,0.855,0.75,fat,fat
346,0.87,0.51,thin,thin
347,0.825,0.7,fat,fat
348,0.725,0.68,fat,fat
349,0.99,0.72,thin,normal
350,0.63,0.49,fat,fat
351,0.805,0.39,thin,thin
352,0.765,0.38,thin,thin
353,0.92,0.73,normal,normal
354,0.67,0.69,fat,fat
355,0.625,0.44,fat,fat
356,0.765,0.77,fat,fat
357,0.745,0.76,fat,fat
358,0.78,0.67,fat,fat
359,0.815,0.52,normal,normal
360,0.91,0.35,thin,thin
361,0.85,0.76,fat,fat
362,0.72,0.42,normal,normal
363,0.82,0.46,thin,thin
364,0.74,0.77,fat,fat
365,0.845,0.6,normal,normal
366,0.84,0.49,thin,thin
367,0.785,0.76,fat,fat
368,0.93,0.63,thin,thin
369,1.0,0.36,thin,thin
370,0.775,0.39,thin,thin
371,0.76,0.53,normal,normal
372,0.775,0.42,thin,thin
373,0.87,0.71,normal,normal
374,0.87,0.74,normal,normal
375,0.62,0.4,fat,fat
376,0.62,0.62,fat,fat
377,0.7,0.78,fat,fat
378,0.62,0.52,fat,fat
379,0.72,0.8,fat,fat
380,0.835,0.48,thin,thin
381,0.995,0.57,thin,thin
382,0.995,0.47,thin,thin
383,0.76,0.41,thin,thin
384,0.645,0.7,fat,fat
385,0.97,0.54,thin,thin
386,0.92,0.72,normal,normal
387,0.89,0.73,normal,normal
388,0.92,0.64,normal,normal
389,0.705,0.65,fat,fat
390,0.945,0.56,thin,thin
391,0.795,0.67,fat,fat
392,0.695,0.35,thin,normal
393,0.75,0.35,thin,thin
394,0.725,0.47,normal,normal
395,0.885,0.59,normal,normal
396,0.885,0.43,thin,thin
397,0.6,0.79,fat,fat
398,0.665,0.71,fat,fat
399,0.635,0.52,fat,fat
400,0.81,0.63,normal,normal
401,0.645,0.4,normal,normal
402,0.73,0.46,normal,normal
403,0.715,0.8,fat,fat
404,0.985,0.46,thin,thin
405,0.815,0.37,thin,thin
406,0.725,0.66,fat,fat
407,0.855,0.75,fat,fat
408,0.685,0.36,normal,normal
409,0.83,0.43,thin,thin
410,0.69,0.43,normal,normal
411,0.6,0.48,fat,fat
412,0.92,0.54,thin,thin
413,0.76,0.41,thin,thin
414,0.625,0.54,fat,fat
415,0.98,0.4,thin,thin
416,0.65,0.65,fat,fat
417,0.73,0.8,fat,fat
418,0.96,0.52,thin,thin
419,0.6,0.42,fat,fat
420,1.0,0.38,thin,thin
421,0.9,0.59,thin,thin
422,0.715,0.49,normal,normal
423,0.82,0.48,thin,thin
424,0.845,0.41,thin,thin
425,0.86,0.71,normal,normal
426,0.96,0.8,normal,normal
427,0.63,0.67,fat,fat
428,0.785,0.44,thin,thin
429,0.6,0.54,fat,fat
430,0.895,0.56,thin,thin
431,0.81,0.55,normal,normal
432,0.615,0.7,fat,fat
433,0.98,0.71,thin,normal
434,0.88,0.71,normal,normal
435,0.66,0.77,fat,fat
436,0.83,0.7,fat,fat
437,0.98,0.39,thin,thin
438,0.71,0.61,fat,fat
439,0.93,0.56,thin,thin
440,0.905,0.72,normal,normal
441,0.685,0.78,fat,fat
442,0.86,0.44,thin,thin
443,0.96,0.78,normal,normal
444,0.68,0.5,fat,fat
445,0.745,0.41,thin,normal
446,0.77,0.56,normal,normal
447,0.8,0.5,normal,normal
448,0.98,0.56,thin,thin
449,0.865,0.67,normal,normal
450,0.62,0.58,fat,fat
451,0.925,0.79,normal,normal
452,0.62,0.53,fat,fat
453,0.66,0.7,fat,fat
454,0.89,0.43,thin,thin
455,0.78,0.71,fat,fat
456,0.61,0.59,fat,fat
457,0.92,0.4,thin,thin
458,0.755,0.67,fat,fat
459,0.915,0.37,thin,thin
460,0.77,0.73,fat,fat
461,0.725,0.48,normal,normal
462,0.78,0.45,thin,thin
463,0.695,0.59,fat,fat
464,0.635,0.53,fat,fat
465,0.935,0.53,thin,thin
466,0.995,0.57,thin,thin
467,0.78,0.55,normal,normal
468,0.88,0.62,normal,normal
469,0.795,0.66,fat,fat
470,0.785,0.62,fat,fat
471,0.67,0.76,fat,fat
472,0.68,0.38,normal,normal
473,0.755,0.73,fat,fat
474,0.9,0.57,thin,thin
475,0.73,0.48,normal,normal
476,0.78,0.44,thin,thin
477,0.785,0.39,thin,thin
478,0.64,0.75,fat,fat
479,0.77,0.61,fat,fat
480,0.655,0.45,fat,fat
481,0.85,0.41,thin,thin
482,0.985,0.77,normal,normal
483,0.93,0.35,thin,thin
484,0.625,0.66,fat,fat
485,0.85,0.54,normal,normal
486,1.0,0.4,thin,thin
487,0.68,0.63,fat,fat
488,0.615,0.55,fat,fat
489,0.86,0.63,normal,normal
490,0.815,0.51,normal,normal
491,0.62,0.39,fat,fat
492,0.89,0.66,normal,normal
493,0.9,0.55,thin,thin
494,0.645,0.41,normal,normal
495,0.91,0.72,normal,normal
496,0.78,0.47,normal,normal
497,0.885,0.41,thin,thin
498,0.885,0.55,thin,thin
499,0.68,0.37,normal,normal
500,0.705,0.64,fat,fat
501,0.795,0.6,normal,normal
502,0.925,0.42,thin,thin
503,0.74,0.66,fat,fat
504,0.885,0.35,thin,thin
505,0.61,0.46,fat,fat
506,0.645,0.42,fat,fat
507,0.65,0.47,fat,fat
508,0.65,0.49,fat,fat
509,0.77,0.53,normal,normal
510,0.615,0.73,fat,fat
511,0.755,0.8,fat,fat
512,0.965,0.69,normal,normal
513,0.615,0.63,fat,fat
514,0.685,0.42,normal,normal
515,0.795,0.51,normal,normal
516,0.935,0.68,normal,normal
517,0.705,0.79,fat,fat
518,0.85,0.39,thin,thin
519,0.745,0.57,fat,fat
520,0.615,0.58,fat,fat
521,0.79,0.57,normal,normal
522,0.91,0.39,thin,thin
523,0.94,0.71,normal,normal
524,0.91,0.49,thin,thin
525,0.665,0.75,fat,fat
526,0.85,0.49,thin,thin
527,1.0,0.46,thin,thin
528,0.92,0.79,normal,normal
529,0.66,0.56,fat,fat
530,0.94,0.61,thin,thin
531,0.805,0.61,normal,normal
532,0.715,0.76,fat,fat
533,0.93,0.43,thin,thin
534,0.945,0.45,thin,thin
535,0.655,0.58,fat,fat
536,0.995,0.43,thin,thin
537,0.805,0.67,fat,fat
538,0.955,0.44,thin,thin
539,0.97,0.67,thin,thin
540,0.81,0.69,fat,fat
541,0.67,0.66,fat,fat
542,0.815,0.62,normal,normal
543,0.95,0.38,thin,thin
544,0.94,0.67,normal,normal
545,0.915,0.77,normal,normal
546,0.72,0.41,normal,normal
547,0.675,0.77,fat,fat
548,0.885,0.65,normal,normal
549,0.795,0.46,thin,thin
550,0.815,0.5,normal,normal
551,0.89,0.4,thin,thin
552,0.935,0.54,thin,thin
553,0.675,0.46,fat,fat
554,0.705,0.45,normal,normal
555,0.705,0.67,fat,fat
556,0.875,0.49,thin,thin
557,0.895,0.77,normal,normal
558,0.8,0.6,normal,normal
559,0.675,0.77,fat,fat
560,0.64,0.38,normal,normal
561,0.9,0.46,thin,thin
562,0.76,0.5,normal,normal
563,0.86,0.66,normal,normal
564,0.695,0.52,fat,fat
565,0.62,0.7,fat,fat
566,0.715,0.64,fat,fat
567,0.925,0.37,thin,thin
568,0.79,0.45,thin,thin
569,0.81,0.75,fat,fat
570,0.75,0.43,normal,normal
571,0.7,0.56,fat,fat
572,0.655,0.37,normal,normal
573,0.88,0.59,normal,normal
574,0.725,0.41,normal,normal
575,0.635,0.75,fat,fat
576,0.69,0.42,normal,normal
577,0.645,0.75,fat,fat
578,0.885,0.78,normal,normal
579,0.81,0.37,thin,thin
580,0.84,0.72,fat,fat
581,0.605,0.68,fat,fat
582,0.86,0.39,thin,thin
583,0.645,0.39,normal,normal
584,0.685,0.36,normal,normal
585,0.64,0.76,fat,fat
586,0.95,0.54,thin,thin
587,0.615,0.52,fat,fat
588,0.76,0.73,fat,fat
589,0.72,0.72,fat,fat
590,0.91,0.49,thin,thin
591,1.0,0.6,thin,thin
592,0.73,0.47,normal,normal
593,0.84,0.44,thin,thin
594,0.75,0.45,normal,normal
595,0.92,0.63,normal,normal
596,0.755,0.61,fat,fat
597,0.965,0.41,thin,thin
598,0.835,0.59,normal,normal
599,0.89,0.7,normal,normal
600,0.99,0.38,thin,thin
601,0.96,0.54,thin,thin
602,0.855,0.49,thin,thin
603,0.71,0.61,fat,fat
604,0.945,0.67,normal,normal
605,0.705,0.38,normal,normal
606,0.825,0.41,thin,thin
607,0.875,0.72,normal,normal
608,0.68,0.49,fat,fat
609,0.785,0.67,fat,fat
610,0.86,0.65,normal,normal
611,0.825,0.56,normal,normal
612,0.845,0.67,normal,normal
613,0.79,0.38,thin,thin
614,0.91,0.62,normal,normal
615,0.755,0.42,thin,thin
616,0.6,0.62,fat,fat
617,0.795,0.56,normal,normal
618,0.945,0.53,thin,thin
619,0.87,0.4,thin,thin
620,0.75,0.42,normal,normal
621,0.73,0.52,normal,normal
622,0.705,0.4,normal,normal
623,0.655,0.69,fat,fat
624,0.615,0.38,fat,fat
625,0.955,0.66,thin,thin
626,0.81,0.61,normal,normal
627,0.68,0.51,fat,fat
628,0.68,0.57,fat,fat
629,0.845,0.72,fat,fat
630,0.71,0.57,fat,fat
631,0.62,0.52,fat,fat
632,0.915,0.52,thin,thin
633,0.63,0.62,fat,fat
634,0.735,0.72,fat,fat
635,0.75,0.72,fat,fat
636,0.92,0.37,thin,thin
637,0.74,0.64,fat,fat
638,0.945,0.66,thin,normal
639,0.715,0.66,fat,fat
640,0.82,0.77,fat,fat
641,0.63,0.48,fat,fat
642,0.7,0.54,fat,fat
643,0.77,0.42,thin,thin
644,0.84,0.59,normal,normal
645,0.92,0.66,normal,normal
646,0.785,0.74,fat,fat
647,0.725,0.62,fat,fat
648,0.95,0.75,normal,normal
649,0.7,0.64,fat,fat
650,0.625,0.35,normal,normal
651,0.635,0.71,fat,fat
652,0.96,0.49,thin,thin
653,0.61,0.69,fat,fat
654,0.6,0.78,fat,fat
655,0.625,0.35,normal,normal
656,0.885,0.57,thin,thin
657,0.84,0.8,fat,fat
658,0.9,0.46,thin,thin
659,0.71,0.5,normal,normal
660,0.62,0.66,fat,fat
661,0.975,0.46,thin,thin
662,0.805,0.47,thin,thin
663,0.775,0.78,fat,fat
664,0.965,0.77,normal,normal
665,0.795,0.78,fat,fat
666,0.785,0.79,fat,fat
667,0.71,0.68,fat,fat
668,0.705,0.43,normal,normal
669,0.61,0.37,normal,normal
670,0.955,0.73,normal,normal
671,0.695,0.71,fat,fat
672,0.98,0.5,thin,thin
673,0.82,0.35,thin,thin
674,0.905,0.49,thin,thin
675,0.615,0.72,fat,fat
676,0.97,0.75,normal,normal
677,0.925,0.45,thin,thin
678,0.965,0.37,thin,thin
679,0.86,0.66,normal,normal
680,0.79,0.37,thin,thin
681,0.93,0.58,thin,thin
682,0.925,0.51,thin,thin
683,0.635,0.6,fat,fat
684,0.915,0.64,normal,normal
685,0.935,0.64,thin,thin
686,0.955,0.72,normal,normal
687,0.955,0.44,thin,thin
688,0.6,0.79,fat,fat
689,0.645,0.36,normal,normal
690,0.9,0.63,normal,normal
691,0.615,0.38,fat,fat
692,0.705,0.51,fat,fat
693,0.61,0.41,fat,fat
694,0.91,0.58,thin,thin
695,0.9,0.56,thin,thin
696,0.955,0.54,thin,thin
697,0.8,0.61,normal,normal
698,0.885,0.46,thin,thin
699,0.8,0.78,fat,fat
700,0.71,0.35,thin,thin
701,0.69,0.79,fat,fat
702,0.78,0.67,fat,fat
703,0.83,0.74,fat,fat
704,0.62,0.45,fat,fat
705,0.85,0.62,normal,normal
706,0.815,0.42,thin,thin
707,0.96,0.78,normal,normal
708,0.665,0.59,fat,fat
709,0.845,0.79,fat,fat
710,0.635,0.47,fat,fat
711,0.925,0.41,thin,thin
712,0.925,0.79,normal,normal
713,0.69,0.58,fat,fat
714,0.86,0.47,thin,thin
715,0.95,0.39,thin,thin
716,0.93,0.39,thin,thin
717,0.795,0.57,normal,normal
718,0.725,0.55,fat,fat
719,0.86,0.41,thin,thin
720,0.63,0.35,normal,normal
721,0.775,0.48,normal,normal
722,0.94,0.55,thin,thin
723,0.745,0.35,thin,thin
724,0.735,0.42,normal,normal
725,0.65,0.35,normal,normal
726,0.785,0.36,thin,thin
727,0.925,0.42,thin,thin
728,0.625,0.59,fat,fat
729,0.855,0.49,thin,thin
730,0.635,0.39,normal,normal
731,0.79,0.55,normal,normal
732,0.765,0.49,normal,normal
733,0.685,0.63,fat,fat
734,0.995,0.61,thin,thin
735,0.9,0.6,normal,normal
736,0.615,0.57,fat,fat
737,0.75,0.75,fat,fat
738,0.965,0.77,normal,normal
739,0.815,0.62,normal,normal
740,0.81,0.7,fat,fat
741,0.875,0.67,normal,normal
742,0.875,0.47,thin,thin
743,0.665,0.74,fat,fat
744,0.795,0.45,thin,thin
745,0.8,0.41,thin,thin
746,0.95,0.72,normal,normal
747,0.79,0.4,thin,thin
748,0.79,0.36,thin,thin
749,0.91,0.68,normal,normal
750,0.94,0.59,thin,thin
751,0.73,0.6,fat,fat
752,0.775,0.58,normal,normal
753,0.97,0.45,thin,thin
754,0.815,0.72,fat,fat
755,0.78,0.55,normal,normal
756,0.875,0.69,normal,normal
757,0.97,0.5,thin,thin
758,0.635,0.46,fat,fat
759,0.905,0.72,normal,normal
760,0.835,0.45,thin,thin
761,0.7,0.72,fat,fat
762,0.66,0.71,fat,fat
763,0.955,0.4,thin,thin
764,0.87,0.37,thin,thin
765,0.72,0.5,normal,normal
766,0.985,0.52,thin,thin
767,0.92,0.38,thin,thin
768,0.645,0.63,fat,fat
769,0.67,0.42,normal,normal
770,0.985,0.5,thin,thin
771,0.6,0.74,fat,fat
772,0.605,0.36,normal,normal
773,0.825,0.75,fat,fat
774,0.92,0.73,normal,normal
775,0.795,0.42,thin,thin
776,0.6,0.56,fat,fat
777,0.81,0.4,thin,thin
778,0.87,0.73,normal,normal
779,0.665,0.62,fat,fat
780,0.85,0.66,normal,normal
781,0.945,0.54,thin,thin
782,0.93,0.7,normal,normal
783,0.785,0.57,normal,normal
784,0.73,0.68,fat,fat
785,0.975,0.5,thin,thin
786,0.655,0.53,fat,fat
787,0.845,0.4,thin,thin
788,0.79,0.77,fat,fat
789,0.92,0.64,normal,normal
790,0.99,0.79,normal,normal
791,0.93,0.72,normal,normal
792,0.65,0.54,fat,fat
793,0.925,0.37,thin,thin
794,0.875,0.35,thin,thin
795,0.91,0.63,normal,normal
796,0.775,0.59,normal,normal
797,0.675,0.73,fat,fat
798,0.655,0.51,fat,fat
799,0.93,0.69,normal,normal
800,0.74,0.62,fat,fat
801,0.95,0.79,normal,normal
802,0.955,0.79,normal,normal
803,0.65,0.49,fat,fat
804,0.695,0.51,fat,fat
805,0.92,0.62,thin,thin
806,0.71,0.8,fat,fat
807,0.88,0.71,normal,normal
808,0.8,0.49,normal,normal
809,0.77,0.73,fat,fat
810,0.935,0.4,thin,thin
811,0.755,0.58,fat,fat
812,0.825,0.44,thin,thin
813,0.605,0.77,fat,fat
814,0.61,0.47,fat,fat
815,0.975,0.36,thin,thin
816,0.6,0.53,fat,fat
817,0.915,0.63,normal,normal
818,0.78,0.67,fat,fat
819,0.81,0.35,thin,thin
820,0.91,0.6,thin,thin
821,0.865,0.43,thin,thin
822,0.61,0.79,fat,fat
823,0.82,0.4,thin,thin
824,0.695,0.54,fat,fat
825,0.945,0.6,thin,thin
826,0.935,0.52,thin,thin
827,0.695,0.37,normal,normal
828,0.82,0.39,thin,thin
829,0.61,0.61,fat,fat
830,0.85,0.39,thin,thin
831,0.85,0.47,thin,thin
832,0.915,0.57,thin,thin
833,0.67,0.66,fat,fat
834,0.97,0.63,thin,thin
835,0.62,0.63,fat,fat
836,0.6,0.77,fat,fat
837,0.745,0.76,fat,fat
838,0.89,0.71,normal,normal
839,0.71,0.47,normal,normal
840,0.625,0.46,fat,fat
841,0.6,0.47,fat,fat
842,0.665,0.46,fat,fat
843,0.835,0.45,thin,thin
844,0.845,0.71,normal,normal
845,0.8,0.42,thin,thin
846,0.825,0.68,normal,normal
847,0.79,0.58,normal,normal
848,0.705,0.37,normal,normal
849,1.0,0.36,thin,thin
850,0.805,0.79,fat,fat
851,0.78,0.47,normal,normal
852,0.825,0.46,thin,thin
853,0.92,0.77,normal,normal
854,0.665,0.68,fat,fat
855,0.915,0.75,normal,normal
856,0.63,0.56,fat,fat
857,0.935,0.46,thin,thin
858,0.98,0.63,thin,thin
859,0.615,0.59,fat,fat
860,0.88,0.46,thin,thin
861,0.845,0.44,thin,thin
862,0.995,0.63,thin,thin
863,0.93,0.79,normal,normal
864,0.695,0.75,fat,fat
865,0.845,0.58,normal,normal
866,0.6,0.76,fat,fat
867,0.92,0.48,thin,thin
868,0.92,0.49,thin,thin
869,0.975,0.72,normal,normal
870,0.72,0.46,normal,normal
871,0.965,0.38,thin,thin
872,0.825,0.76,fat,fat
